T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,DATE,YEAR,MONTH,HEAVY_RAIN,HEATWAVE,EXTREME_RAIN,TEMP_ANOMALY,TEMP_MA30,TEMP_RANGE,TEMP_MA7,RAIN_MA7
21.17,25.7,17.58,90.85,3.15,18.18,2012-12-12,2012,12,False,0,0,-4.678685939553215,18.371666666666666,8.120000000000001,18.254285714285714,2.697142857142857
19.84,26.08,14.09,81.8,2.02,0.02,2012-12-13,2012,12,False,0,0,-6.008685939553217,18.38,11.989999999999998,18.759999999999998,2.6999999999999997
19.69,26.21,14.28,76.68,2.44,0.0,2012-12-14,2012,12,False,0,0,-6.158685939553216,18.39333333333333,11.930000000000001,19.28142857142857,2.6999999999999997
18.71,25.22,13.29,80.67,2.94,0.0,2012-12-15,2012,12,False,0,0,-7.138685939553216,18.403333333333332,11.93,19.618571428571432,2.6999999999999997
17.94,25.26,12.57,77.96,3.59,0.0,2012-12-16,2012,12,False,0,0,-7.908685939553216,18.413999999999998,12.690000000000001,19.71142857142857,2.6999999999999997
18.09,25.83,11.38,78.85,3.19,0.0,2012-12-17,2012,12,False,0,0,-7.758685939553217,18.36933333333333,14.449999999999998,19.548571428571428,2.6999999999999997
17.36,24.5,12.17,74.79,3.61,0.0,2012-12-18,2012,12,False,0,0,-8.488685939553218,18.234333333333332,12.33,18.97142857142857,2.6
16.33,24.62,8.95,73.67,2.52,0.0,2012-12-19,2012,12,False,0,0,-9.518685939553219,18.057666666666666,15.670000000000002,18.28,0.002857142857142857
16.36,24.34,9.55,73.25,2.74,0.0,2012-12-20,2012,12,False,0,0,-9.488685939553218,17.88566666666667,14.79,17.782857142857143,0.0
14.82,23.53,8.01,67.11,2.79,0.0,2012-12-21,2012,12,False,0,0,-11.028685939553217,17.687,15.520000000000001,17.087142857142858,0.0
13.09,21.76,6.23,67.39,3.62,0.0,2012-12-22,2012,12,False,0,0,-12.758685939553217,17.450333333333333,15.530000000000001,16.284285714285716,0.0
12.28,21.11,5.37,71.2,3.73,0.0,2012-12-23,2012,12,False,0,0,-13.568685939553218,17.213666666666665,15.739999999999998,15.475714285714286,0.0
13.17,21.72,5.88,70.96,2.97,0.0,2012-12-24,2012,12,False,0,0,-12.678685939553217,17.024,15.84,14.772857142857143,0.0
13.36,22.58,5.9,67.75,3.24,0.0,2012-12-25,2012,12,False,0,0,-12.488685939553218,16.861666666666668,16.68,14.20142857142857,0.0
12.41,20.9,6.02,68.38,3.27,0.0,2012-12-26,2012,12,False,0,0,-13.438685939553217,16.657333333333334,14.879999999999999,13.641428571428573,0.0
11.87,20.68,4.75,70.66,3.61,0.0,2012-12-27,2012,12,False,0,0,-13.978685939553218,16.467333333333332,15.93,12.999999999999998,0.0
12.66,21.3,5.07,68.85,3.23,0.0,2012-12-28,2012,12,False,0,0,-13.188685939553217,16.341666666666665,16.23,12.691428571428572,0.0
13.39,22.2,5.66,66.39,2.78,0.0,2012-12-29,2012,12,False,0,0,-12.458685939553217,16.252333333333333,16.54,12.734285714285715,0.0
13.11,22.42,4.66,59.86,2.84,0.0,2012-12-30,2012,12,False,0,0,-12.738685939553218,16.120333333333335,17.76,12.852857142857143,0.0
14.68,23.58,6.46,62.1,2.37,0.0,2012-12-31,2012,12,False,0,0,-11.168685939553217,16.041,17.119999999999997,13.06857142857143,0.0
16.42,24.22,8.37,65.42,2.12,0.0,2013-01-01,2013,1,False,0,0,-9.428685939553215,16.039333333333335,15.85,13.505714285714287,0.0
18.5,25.7,11.44,71.36,2.03,0.0,2013-01-02,2013,1,False,0,0,-7.348685939553217,16.141666666666666,14.26,14.375714285714285,0.0
19.16,23.37,15.57,88.3,2.32,3.51,2013-01-03,2013,1,False,0,0,-6.688685939553217,16.240666666666666,7.800000000000001,15.417142857142858,0.5014285714285714
16.82,24.8,10.86,74.55,3.39,0.0,2013-01-04,2013,1,False,0,0,-9.028685939553217,16.261333333333333,13.940000000000001,16.01142857142857,0.5014285714285714
15.27,23.87,8.22,64.89,2.82,0.0,2013-01-05,2013,1,False,0,0,-10.578685939553218,16.227,15.65,16.279999999999998,0.5014285714285714
